Gene	sgRNA	ATRT_common|beta	ATRT_common|z	ATRT_common|p-value	ATRT_common|fdr	ATRT_common|wald-p-value	ATRT_common|wald-fdr
FBXO4	4	0.22114	0.84946	0.85695	0.97072	0.39563	0.58537
ASXL2	4	-0.089017	-0.44477	0.20082	0.62976	0.65649	0.76739
SDAD1	4	-0.91158	-2.9106	0.00083717	0.020592	0.0036075	0.091685
SLC26A9	4	0.40063	1.6724	0.55374	0.8862	0.094451	0.47241
SERPINA3	4	0.2297	1.1435	0.88442	0.9777	0.25282	0.49647
MCTP1	3	-0.09408	-0.39223	0.24629	0.6835	0.69489	0.79516
TELO2	4	-0.75376	-2.297	0.003401	0.057573	0.021618	0.30926
FOXS1	4	0.63095	1.6408	0.088845	0.44219	0.10084	0.47241
F2RL1	4	-0.15758	-0.69917	0.13782	0.54009	0.48445	0.6436
VRK1	4	-0.46496	-1.4941	0.023284	0.21473	0.13515	0.47241
C20orf78	4	0.58512	1.6066	0.13777	0.54009	0.10813	0.47241
TIRAP	4	0.48639	1.8071	0.31687	0.74652	0.070743	0.47241
ADAT3	4	0.17807	0.67187	0.73289	0.9432	0.50167	0.6563
TMEM229B	4	0.62461	1.4149	0.095071	0.45314	0.1571	0.47241
ANKRD66	4	0.39033	1.2526	0.58555	0.89715	0.21035	0.48162
THEMIS2	4	0.6192	1.6421	0.099728	0.46435	0.10056	0.47241
C9orf89	4	0.53181	1.0224	0.22321	0.656	0.30658	0.52949
CARD14	4	0.46504	1.6603	0.3694	0.7865	0.096863	0.47241
SSC5D	4	0.06353	0.31149	0.44401	0.83476	0.75543	0.83765
MBNL1	4	0.49012	1.0462	0.30881	0.74174	0.29545	0.52277
PARD3B	4	0.05207	0.36038	0.41785	0.81899	0.71857	0.81179
TRHDE	4	0.30475	1.2766	0.86767	0.97267	0.20173	0.47882
MIIP	4	0.20144	1.0075	0.7973	0.95855	0.31368	0.5333
SYNPO2L	4	0.031345	0.19985	0.3762	0.79255	0.8416	0.89944
PRPSAP2	4	-0.016542	-0.091531	0.2962	0.7308	0.92707	0.95478
EPN1	4	0.3481	0.95626	0.72284	0.94092	0.33894	0.54967
PSORS1C2	4	0.49436	1.5038	0.29929	0.73281	0.13264	0.47241
KREMEN2	4	0.03924	0.11753	0.39148	0.80452	0.90644	0.94146
FGF16	4	0.40934	1.3807	0.52501	0.874	0.16738	0.47241
LMO1	4	0.31923	1.7988	0.8198	0.9629	0.07205	0.47241
DNAJC30	4	0.39129	1.4218	0.58267	0.89691	0.15508	0.47241
PLAU	4	-0.041525	-0.32307	0.25916	0.69409	0.74664	0.83138
CDK16	4	0.46726	1.4473	0.36386	0.78105	0.14781	0.47241
SLC6A20	4	-0.30636	-1.0827	0.059021	0.36293	0.27896	0.51238
SCARB2	4	0.13255	0.77258	0.60752	0.90276	0.43977	0.61281
SMTN	4	0.32302	1.3323	0.80735	0.96141	0.18278	0.47241
RMND5A	4	0.43516	1.2665	0.44867	0.83732	0.20534	0.47976
GID4	4	-0.096608	-0.38103	0.19375	0.62263	0.70318	0.80114
DYTN	4	0.044074	0.20727	0.40095	0.80881	0.8358	0.89579
VPS72	4	-0.12588	-0.54008	0.16518	0.58249	0.58914	0.71818
ACER1	4	-0.047986	-0.18875	0.25021	0.68595	0.85029	0.90473
S100A9	4	-0.49791	-2.4792	0.018627	0.18542	0.013168	0.22357
CORO1A	4	0.15807	0.85506	0.67465	0.92423	0.39252	0.58336
SERPINF1	4	0.54823	1.5441	0.19339	0.62233	0.12256	0.47241
EPHA8	4	0.35588	1.7222	0.69496	0.93001	0.085039	0.47241
ZNF655	4	-0.27545	-1.5636	0.070793	0.39747	0.11791	0.47241
ASB15	4	0.56075	1.8465	0.17246	0.59452	0.064826	0.47241
CD24	4	0.34035	1.3835	0.74932	0.9464	0.16652	0.47241
FBXO39	4	0.21656	0.93849	0.84319	0.96828	0.34799	0.5551
ITGB4	4	0.16468	0.73762	0.69349	0.92994	0.46075	0.62715
SMARCAL1	4	0.1494	0.61806	0.65189	0.91706	0.53654	0.68104
NHLRC3	4	0.17461	0.94296	0.72279	0.94092	0.3457	0.5534
ZNF444	4	0.38602	1.6787	0.59842	0.90029	0.093219	0.47241
PLXDC1	4	0.47779	1.2962	0.33733	0.76323	0.19491	0.47696
PRR18	4	0.72658	1.4941	0.032545	0.26655	0.13515	0.47241
B4GAT1	4	0.015586	0.07911	0.34805	0.76993	0.93695	0.96097
SHFM1	4	-0.63924	-2.6146	0.0074299	0.10021	0.0089324	0.16997
FBXO7	4	0.0097615	0.057046	0.33733	0.76323	0.95451	0.97206
C6orf1	4	0.34135	1.785	0.7455	0.94585	0.07426	0.47241
FAIM2	4	0.11023	0.52191	0.55117	0.88522	0.60173	0.72667
LY6H	4	0.45223	1.6748	0.40315	0.80986	0.093973	0.47241
ZNF174	4	0.22144	0.8026	0.85799	0.97122	0.42221	0.60213
AKR7A3	4	0.091081	0.54869	0.50335	0.86449	0.58322	0.71313
PPP6R1	4	-0.036916	-0.24294	0.26507	0.70089	0.80805	0.87533
ARFGAP1	4	0.11095	0.76991	0.5529	0.8862	0.44135	0.61396
SGCA	4	0.090819	0.69772	0.50272	0.86398	0.48535	0.64444
AAAS	4	0.23627	0.80476	0.90634	0.9832	0.42096	0.6011
C15orf52	4	0.53139	1.4482	0.224	0.6571	0.14756	0.47241
DHX8	4	-0.8934	-3.1895	0.00094182	0.022785	0.0014254	0.048564
SLC22A18	4	0.15062	0.65062	0.65535	0.91854	0.51529	0.66637
ATP6V0B	4	-0.75158	-2.2729	0.003401	0.057573	0.023029	0.32268
AQP11	4	0.39472	1.4564	0.57111	0.89066	0.14529	0.47241
ATP1B1	4	0.54343	0.84666	0.20244	0.63167	0.39718	0.5864
FDX1L	4	-1.1467	-3.5016	0	0	0.00046246	0.02405
PPP1R14D	4	0.0025884	0.016075	0.32482	0.75148	0.98717	0.99291
ADAM10	4	-0.17406	-0.93724	0.12448	0.514	0.34864	0.55556
C9orf78	4	-0.024479	-0.098219	0.28406	0.72089	0.92176	0.95122
MYO10	4	-0.017994	-0.12296	0.29437	0.72955	0.90214	0.93871
KPNA7	4	0.092571	0.67905	0.50675	0.86583	0.49711	0.65328
GSDMA	4	0.084266	0.45871	0.48901	0.85995	0.64644	0.7602
WDR18	4	-0.97223	-2.3175	0.00031394	0.0092166	0.020474	0.29757
B4GALNT4	4	0.20859	0.59561	0.81875	0.9629	0.55143	0.69122
NDUFB9	4	-0.3218	-1.1394	0.053893	0.34727	0.25454	0.49777
TECTB	4	0.45206	1.5681	0.40357	0.81002	0.11685	0.47241
TEAD4	4	0.31926	0.55887	0.81969	0.9629	0.57625	0.70875
TNFSF9	4	1.4391	0.55139	5.2323e-05	0.0020243	0.58137	0.71171
APLN	3	0.33378	0.83366	0.81383	0.96244	0.40447	0.59078
UMPS	4	0.3022	0.88316	0.87673	0.97572	0.37715	0.57356
PATZ1	4	-0.18003	-1.0247	0.12003	0.50318	0.30549	0.52868
ARTN	3	0.40914	1.506	0.58994	0.89741	0.13206	0.47241
MRPL36	4	-0.51377	-1.8748	0.016953	0.17447	0.060819	0.47241
RCE1	4	0.39633	1.583	0.56593	0.88951	0.11341	0.47241
ASB6	4	0.29402	1.3551	0.90461	0.98261	0.17537	0.47241
FUOM	4	0.22682	1.3208	0.87531	0.97522	0.18657	0.47331
SLC30A2	4	0.34511	1.1767	0.73247	0.94301	0.23931	0.491
SOBP	4	0.32011	1.0055	0.81718	0.96273	0.31466	0.53398
SLC35F6	4	0.36274	1.4219	0.67308	0.92347	0.15507	0.47241
R3HDML	4	0.23686	1.0957	0.90781	0.98342	0.2732	0.50974
GSG1L	4	0.14199	0.88303	0.63196	0.91246	0.37722	0.57356
USP3	4	0.089115	0.49965	0.4989	0.8629	0.61732	0.73785
HRH4	4	-0.43619	-1.2847	0.028778	0.24598	0.19889	0.47797
HS3ST5	4	0.41701	1.5673	0.50084	0.86335	0.11705	0.47241
TBC1D2	4	0.66478	1.6332	0.062369	0.37543	0.10242	0.47241
CGREF1	4	0.40288	1.7124	0.5474	0.88466	0.086823	0.47241
CUTA	4	0.18206	0.67058	0.74362	0.94526	0.50249	0.6567
GAL3ST2	4	0.38488	1.2214	0.60182	0.90162	0.22194	0.48437
MAG	4	0.46285	1.1811	0.37558	0.79201	0.23755	0.49027
HSD11B1L	4	0.11534	0.48032	0.56321	0.88857	0.631	0.7484
ITM2C	4	0.096011	0.6728	0.51496	0.86975	0.50107	0.65606
CYGB	4	0.62497	1.4069	0.0946	0.45314	0.15944	0.47241
FAM159A	4	0.51654	1.8149	0.25251	0.68786	0.06954	0.47241
SCML4	4	0.41406	1.7878	0.5102	0.86768	0.073805	0.47241
FTSJ2	3	-0.16075	-0.38554	0.18125	0.60708	0.69984	0.79843
CPSF7	4	-0.040822	-0.25414	0.26031	0.6959	0.79938	0.86885
CTDNEP1	4	-0.72101	-2.8889	0.0041859	0.066778	0.0038659	0.096331
OR2A42	4	-0.0048089	-0.013434	0.3142	0.74557	0.98928	0.99375
RBP1	4	0.46735	1.5837	0.36359	0.78105	0.11327	0.47241
RBM15	4	0.86699	1.4442	0.0070636	0.097403	0.14868	0.47241
38777	3	0.10271	0.60912	0.56331	0.88857	0.54245	0.68494
BTBD6	4	0.28702	1.3978	0.92936	0.98844	0.16216	0.47241
CLEC14A	4	0.40306	1.1355	0.54693	0.88466	0.25618	0.49889
PRAF2	4	0.30765	1.3419	0.85836	0.97125	0.17963	0.47241
NDUFB11	4	-0.76741	-2.4026	0.0029301	0.051996	0.016279	0.25565
SEMA3G	4	0.063362	0.3795	0.4438	0.83468	0.70432	0.80201
TMEM221	4	0.54928	1.6245	0.19166	0.62068	0.10427	0.47241
DND1	4	0.68992	1.3738	0.047509	0.3265	0.16951	0.47241
ATP5J2-PTCD1	4	0.38029	0.68987	0.6171	0.90621	0.49028	0.64794
C9orf172	4	0.73095	1.739	0.031028	0.25759	0.082032	0.47241
CDIP1	4	0.51258	1.6132	0.26031	0.6959	0.10669	0.47241
CBLN3	4	0.64765	1.4971	0.073305	0.40421	0.13436	0.47241
TFF2	4	0.35244	1.5281	0.70798	0.93597	0.12648	0.47241
LRRC25	4	0.5341	1.1742	0.21882	0.65009	0.24031	0.49112
MYOZ1	4	0.40357	1.7266	0.54526	0.88443	0.084245	0.47241
HAS2	4	0.14984	0.72638	0.65331	0.91742	0.4676	0.63153
FHL3	4	0.30791	1.4807	0.85742	0.97086	0.13868	0.47241
ITPKA	4	0.62404	1.3831	0.095594	0.45459	0.16663	0.47241
PSCA	4	0.26216	1.2778	0.99199	0.99889	0.20131	0.47861
TPSD1	3	0.45185	1.4578	0.47776	0.85376	0.14489	0.47241
ALOX12	4	0.036191	0.15549	0.38625	0.80091	0.87643	0.92187
ZSCAN5A	4	0.18836	1.0862	0.7612	0.95132	0.27738	0.51111
FRS3	4	0.53066	1.3121	0.22525	0.65856	0.18948	0.47455
PQLC2	4	0.19477	1.0169	0.77914	0.95508	0.30918	0.53106
DDX39A	4	0.043835	0.20295	0.40043	0.80881	0.83918	0.89779
LAMTOR1	4	0.016155	0.053127	0.34926	0.77132	0.95763	0.97385
GPR108	4	0.21026	0.87854	0.82372	0.96364	0.37965	0.57536
DKKL1	4	0.34654	1.4565	0.72787	0.94201	0.14524	0.47241
EMC6	4	-0.24842	-1.2654	0.081572	0.42376	0.20574	0.47976
ATHL1	4	0.40313	1.6386	0.54652	0.88466	0.1013	0.47241
CPLX2	4	0.49781	1.6381	0.29186	0.72816	0.10139	0.47241
MYCN	4	0.79321	0.87974	0.015383	0.16415	0.379	0.57501
ERICH1	2	0.68025	0.93163	0.16634	0.58384	0.35153	0.55708
UBA7	4	0.39027	1.1518	0.58565	0.89715	0.24941	0.49525
AIMP2	4	-0.3236	-1.4573	0.053108	0.34441	0.14502	0.47241
ARID5A	4	0.0084405	0.048779	0.33461	0.75971	0.9611	0.97625
DOK2	4	0.49251	1.7368	0.30342	0.73638	0.082421	0.47241
DUSP9	4	0.56023	1.7775	0.17345	0.59591	0.075479	0.47241
MZT2B	4	0.25075	0.877	0.95437	0.9931	0.38049	0.57562
ELANE	4	0.73761	1.2968	0.028882	0.24632	0.19469	0.47689
COA1	4	-0.36752	-1.8644	0.042015	0.30417	0.06226	0.47241
ZIC1	4	0.86913	1.3618	0.0070113	0.097313	0.17325	0.47241
CSDE1	4	-0.14023	-0.58691	0.15179	0.56058	0.55727	0.69507
ECI1	4	0.78734	1.1592	0.01622	0.16968	0.24639	0.49352
DHX34	4	0.50885	1.2799	0.26769	0.70362	0.20059	0.47852
RNPEPL1	4	0.37988	1.3071	0.61862	0.90696	0.19116	0.47571
CLDN11	4	0.46411	1.7155	0.37165	0.78826	0.086255	0.47241
PPP1R32	4	0.68737	1.144	0.048556	0.32838	0.25262	0.4963
GATA6	4	0.35101	1.0348	0.7128	0.93816	0.30077	0.52665
KMT2D	4	0.10116	0.45186	0.52773	0.87525	0.65137	0.76381
RBBP9	4	0.13246	0.80468	0.60737	0.90276	0.42101	0.6011
TMEM200C	4	0.92913	1.2007	0.0036103	0.060052	0.22988	0.4873
PGR	3	0.54861	1.1636	0.26439	0.70003	0.2446	0.49256
CD72	4	0.48053	1.228	0.33115	0.7563	0.21946	0.48329
ZNF713	3	0.4569	0.80002	0.46562	0.84479	0.4237	0.60282
APOBEC3G	4	-0.19613	-1.1191	0.10946	0.48258	0.26309	0.50255
FJX1	4	0.53832	1.639	0.21149	0.64353	0.10121	0.47241
MYLK2	4	0.28999	1.1586	0.91979	0.98598	0.24661	0.49359
AGXT	4	0.51785	1.1675	0.25037	0.68595	0.24302	0.4919
AXL	4	0.42964	1.4389	0.46416	0.84439	0.15017	0.47241
CITED4	4	0.74742	1.3557	0.0259	0.22959	0.1752	0.47241
TESK1	4	0.5614	1.5563	0.17089	0.59188	0.11964	0.47241
BNIP3L	4	0.459	1.626	0.38578	0.80069	0.10396	0.47241
ZDHHC24	4	0.31444	1.1399	0.83612	0.96699	0.25433	0.49777
PAQR9	4	0.47984	1.6159	0.33267	0.75799	0.10612	0.47241
NUDCD2	4	0.41967	1.7336	0.49236	0.86011	0.082982	0.47241
PAM16	4	0.36495	0.77859	0.66602	0.92126	0.43622	0.61099
SPINK6	4	0.48111	1.7198	0.3299	0.75608	0.085462	0.47241
SYNE3	4	0.48706	1.0358	0.3153	0.74614	0.30031	0.52651
NAAA	4	0.54622	1.165	0.19762	0.62776	0.24403	0.49243
GRB10	4	0.60814	1.4327	0.11108	0.48715	0.15194	0.47241
FGF22	4	0.16013	0.70002	0.6801	0.9248	0.48391	0.64311
THAP10	4	0.32286	1.2038	0.80818	0.96141	0.22867	0.48635
EGLN2	4	0.38044	1.498	0.61668	0.90621	0.13413	0.47241
AQP12B	4	0.69567	1.2803	0.044893	0.31602	0.20043	0.47836
GPX7	4	0.59401	1.616	0.12803	0.52164	0.10609	0.47241
MESP1	4	0.66609	1.4931	0.061427	0.37219	0.13542	0.47241
SURF2	4	0.34934	1.506	0.71892	0.94026	0.13207	0.47241
CDC42EP4	4	0.74813	1.0091	0.025586	0.22765	0.31292	0.53312
CACNG8	4	0.39964	1.5388	0.55677	0.88801	0.12385	0.47241
SH3BGRL2	4	0.55154	1.176	0.18742	0.61536	0.23959	0.4911
TMIE	4	0.43524	1.384	0.44846	0.83726	0.16637	0.47241
ALPP	4	0.55477	0.98277	0.18261	0.60946	0.32572	0.54043
MOSPD3	4	0.22074	1.3725	0.85575	0.97005	0.16989	0.47241
RLIM	4	0.65553	1.6936	0.067497	0.39067	0.090349	0.47241
FAM107A	4	0.65693	1.4784	0.066817	0.38909	0.13929	0.47241
LRP5	4	-0.043636	-0.32049	0.25644	0.69159	0.74859	0.83302
TTC32	4	0.18077	0.80637	0.74027	0.94477	0.42003	0.60055
CHPF	4	0.41322	1.5936	0.51271	0.86839	0.11103	0.47241
EEF1D	4	0.42555	1.8905	0.4763	0.8525	0.058689	0.47241
MNX1	4	0.36674	1.746	0.66011	0.91913	0.080814	0.47241
RET	4	0.30095	1.0325	0.8817	0.97723	0.30182	0.527
SLC25A46	4	0.32738	0.92566	0.79217	0.95744	0.35462	0.55959
B4GALNT1	4	0.46939	1.6923	0.3582	0.77866	0.090594	0.47241
LMTK3	4	0.43102	0.90498	0.4606	0.84307	0.36548	0.56588
LHFPL4	4	0.40337	1.3862	0.54584	0.88466	0.16568	0.47241
TAX1BP3	4	-0.40446	-1.8838	0.034324	0.27273	0.059593	0.47241
C16orf72	4	-0.27817	-0.93899	0.069485	0.39336	0.34773	0.55485
ZDHHC23	3	-0.01337	-0.091562	0.35287	0.77473	0.92705	0.95478
EVPL	4	0.068631	0.4122	0.45532	0.84069	0.68019	0.78491
CAMK2N2	4	0.32187	0.87525	0.8119	0.96226	0.38144	0.5764
SLC4A1AP	4	0.42595	1.6566	0.47515	0.85148	0.097609	0.47241
FAM198A	4	0.49301	1.6608	0.30269	0.73579	0.096761	0.47241
SBF1	4	0.4123	1.091	0.51559	0.8702	0.27527	0.51021
TMEM233	4	0.42424	1.4884	0.48059	0.85513	0.13664	0.47241
CHAC2	4	0.3362	1.7781	0.76444	0.95194	0.075386	0.47241
FERD3L	4	0.80149	1.665	0.01397	0.15371	0.095912	0.47241
NAF1	4	-0.55584	-2.4383	0.013028	0.14725	0.014755	0.24105
FADS6	4	0.4188	1.3862	0.49508	0.86064	0.16568	0.47241
LCN2	4	0.31661	1.4523	0.82885	0.96503	0.14641	0.47241
NGB	4	0.27923	1.3022	0.95317	0.99281	0.19284	0.47617
OSM	4	0.11903	0.52211	0.57242	0.89168	0.60159	0.72667
ATAD3C	4	-0.063964	-0.25385	0.2298	0.66374	0.79961	0.86895
CLIP2	4	0.74758	1.3889	0.025848	0.22945	0.16487	0.47241
INHBE	4	0.19893	0.38059	0.78992	0.95714	0.70351	0.80136
BCL2L10	4	0.35074	1.3778	0.714	0.93858	0.16827	0.47241
PLCD1	4	0.41084	1.5007	0.52093	0.87235	0.13343	0.47241
KLHL38	4	-0.017906	-0.091625	0.29442	0.72955	0.927	0.95478
PPAPDC3	4	0.49057	0.77262	0.30797	0.74131	0.43975	0.61281
HSPBP1	4	0.35872	1.3628	0.6859	0.92669	0.17294	0.47241
COL16A1	4	0.43509	1.4862	0.44898	0.83742	0.13723	0.47241
R3HDM1	4	0.32633	1.617	0.79552	0.9584	0.10587	0.47241
LILRB5	4	0.040168	0.18516	0.39331	0.80542	0.8531	0.90656
LTBP3	4	0.56545	1.2171	0.16466	0.58186	0.22356	0.48506
PEMT	4	0.050733	0.24113	0.41429	0.81545	0.80945	0.8764
PCSK9	4	0.65375	1.3416	0.069119	0.39265	0.17971	0.47241
MAZ	4	0.39723	1.4972	0.56352	0.88857	0.13433	0.47241
ARMCX4	4	0.46307	1.5847	0.3749	0.79145	0.11303	0.47241
CT47A4	4	0.45595	1.3674	0.39405	0.80554	0.17149	0.47241
MYOG	4	0.25938	1.5218	0.98336	0.99766	0.12806	0.47241
TIMM17A	4	-0.23815	-0.9207	0.086752	0.43747	0.35721	0.56141
HIVEP2	4	0.049504	0.37777	0.41142	0.81363	0.7056	0.8028
MAPK15	4	0.35692	1.5922	0.69176	0.92942	0.11135	0.47241
MAST3	4	0.11371	0.67361	0.55907	0.88857	0.50056	0.65575
GDPD3	4	0.3205	1.4309	0.81614	0.96273	0.15247	0.47241
PTCHD2	4	0.39187	1.3326	0.581	0.8966	0.18268	0.47241
ST8SIA6	4	0.64124	1.237	0.078903	0.41877	0.21608	0.48302
CFAP20	4	-0.6129	-2.6122	0.0089473	0.11415	0.0089954	0.17056
TMEM72	4	0.52521	0.9195	0.23462	0.67	0.35783	0.56169
TNS4	4	0.24002	1.1016	0.91759	0.98595	0.27065	0.50817
XPR1	4	-0.12741	-0.77411	0.16335	0.57933	0.43887	0.61219
SLC51A	4	0.43646	1.6222	0.44496	0.83495	0.10475	0.47241
NDUFS6	4	0.38796	1.5437	0.59198	0.89816	0.12267	0.47241
SULT1A4	4	-0.32023	-1.774	0.054311	0.34832	0.076056	0.47241
FAM174B	4	0.63281	1.5296	0.087223	0.43835	0.12612	0.47241
TJP1	4	0.38892	1.3298	0.58926	0.89715	0.18358	0.47241
CTNND2	4	0.70825	1.4898	0.039556	0.2949	0.13629	0.47241
ADCK3	4	0.6914	1.1585	0.046672	0.32377	0.24667	0.49361
XAB2	4	-0.8674	-2.4587	0.0012034	0.026932	0.013944	0.23173
SALL3	4	0.39692	1.0829	0.56425	0.88889	0.27887	0.51238
MGST3	4	0.15125	1.0905	0.65697	0.91854	0.27548	0.51021
KPTN	4	0.192	0.94475	0.7713	0.95349	0.34479	0.55272
TNNI3	4	0.27316	1.2769	0.97195	0.99539	0.20162	0.47882
ANKRD33	4	0.65596	1.0373	0.06734	0.39024	0.2996	0.52574
FTHL17	4	0.18987	1.233	0.76554	0.95194	0.21759	0.48302
C1orf86	4	-0.1965	-1.1316	0.10936	0.48234	0.2578	0.49996
RASA4B	4	1.1818	0.98791	0.00026162	0.0079872	0.3232	0.53876
C7orf55	4	0.54135	1.4022	0.20615	0.63682	0.16086	0.47241
KLF13	4	0.35687	1.4018	0.69192	0.92957	0.16096	0.47241
SAMD11	4	0.44999	1.8383	0.4077	0.81175	0.066023	0.47241
CILP2	4	0.40489	1.2888	0.53966	0.88126	0.19748	0.47785
SOX15	3	0.5767	1.146	0.21458	0.64721	0.25179	0.49619
RXFP4	4	0.55365	1.6524	0.18413	0.6103	0.098451	0.47241
CD1D	4	-0.0090876	-0.045312	0.30735	0.74045	0.96386	0.97783
SLCO4A1	4	0.33914	1.0937	0.75366	0.94807	0.27411	0.50994
TCEAL1	4	0.51231	1.7746	0.26078	0.69648	0.075962	0.47241
COA3	3	-0.28126	-1.1313	0.10009	0.465	0.25793	0.50005
KLLN	4	0.8395	1.224	0.0092089	0.11679	0.22095	0.48366
TSPAN17	4	0.18757	0.99318	0.75848	0.95043	0.32062	0.53751
YWHAQ	4	0.26861	1.2658	0.98739	0.99857	0.20558	0.47976
INTU	4	0.12673	0.66689	0.59282	0.89835	0.50485	0.65847
PTCH2	4	0.55986	0.78358	0.17429	0.59685	0.43328	0.60912
SCNN1D	4	0.42946	1.5929	0.46458	0.84465	0.11117	0.47241
C20orf195	4	0.13372	0.48132	0.60962	0.90325	0.63029	0.74783
ASB18	4	0.70433	1.6613	0.041283	0.30172	0.096653	0.47241
CT47A10	4	0.25846	1.3713	0.98069	0.99734	0.17028	0.47241
CRYGN	4	-0.036612	-0.17528	0.2658	0.70146	0.86086	0.91201
HSD17B14	4	0.11792	0.85399	0.56996	0.89019	0.39311	0.5837
TMEM161A	4	0.20174	1.2159	0.79803	0.95889	0.22404	0.48512
KCNH2	4	0.47353	1.8805	0.34737	0.76993	0.060042	0.47241
CORO2A	4	0.39744	1.6578	0.5631	0.88857	0.097354	0.47241
TRIM4	4	0.067806	0.4474	0.45328	0.83968	0.65459	0.76582
RPS11	4	-1.9701	-5.0226	0	0	5.0982e-07	0.00029593
NT5C1A	4	0.20733	0.76852	0.81472	0.96273	0.44218	0.61457
EPHA10	4	0.44045	1.0638	0.43428	0.82854	0.2874	0.51738
KDELC1	4	0.085308	0.64549	0.49116	0.85997	0.51861	0.66885
MANEAL	4	0.090247	0.51072	0.50167	0.86398	0.60955	0.73268
LAD1	4	0.34898	1.7533	0.72002	0.94054	0.079548	0.47241
HSPA1A	4	0.74932	0.68444	0.025272	0.22602	0.4937	0.6505
SPTBN5	4	0.36365	1.5436	0.67015	0.92307	0.12267	0.47241
TCTEX1D4	4	0.77263	1.413	0.019778	0.192	0.15764	0.47241
FAM8A1	4	0.39637	1.4843	0.56593	0.88951	0.13773	0.47241
ANKRD63	4	0.67213	1.5909	0.057503	0.3581	0.11162	0.47241
NDUFA4L2	4	0.25455	1.1328	0.96772	0.99501	0.25731	0.49928
DCTPP1	4	0.4133	0.62217	0.51219	0.86813	0.53383	0.679
FBXL15	4	0.92543	0.67646	0.0036103	0.060052	0.49875	0.65449
PDLIM4	4	0.23231	1.0177	0.89305	0.97951	0.30881	0.53106
RCOR2	4	0.37947	1.5049	0.6194	0.90696	0.13235	0.47241
GDF10	3	0.81137	1.4012	0.027417	0.23818	0.16114	0.47241
VARS	4	-1.9092	-5.0382	0	0	4.6991e-07	0.00029593
ROPN1B	3	0.35999	0.72714	0.73676	0.9437	0.46714	0.63126
GPAA1	4	0.34372	1.6651	0.73671	0.9437	0.095886	0.47241
KTI12	4	-0.46443	-2.0004	0.023336	0.21473	0.045455	0.47241
PYCR1	4	0.48287	1.3871	0.32529	0.75184	0.16542	0.47241
AZU1	4	0.34051	1.332	0.74859	0.94623	0.18286	0.47241
NTN5	4	0.36454	1.3288	0.66717	0.92159	0.18392	0.47241
INAFM2	4	0.66665	1.6841	0.061061	0.37048	0.092171	0.47241
EIF2B5	4	-1.3204	-3.9353	0	0	8.3091e-05	0.0083581
MACROD1	4	0.37917	1.7942	0.62045	0.9071	0.072785	0.47241
ZXDA	4	0.73825	1.6161	0.028673	0.24541	0.10607	0.47241
C18orf65	4	0.59989	1.3421	0.1206	0.50438	0.17957	0.47241
PRRX1	4	0.79887	1.2587	0.014546	0.1576	0.20814	0.48074
PET117	4	-1.0381	-3.5748	0.00015697	0.0051282	0.00035051	0.020654
KCNK12	4	0.57825	1.7767	0.14802	0.55643	0.075617	0.47241
FBXL14	4	0.23421	1.061	0.89954	0.98044	0.28867	0.51808
RPS4Y2	4	0.37371	1.3819	0.63819	0.91439	0.16701	0.47241
THEG5	4	0.34624	1.5922	0.72881	0.94201	0.11134	0.47241
EME2	4	0.61409	1.7278	0.10402	0.47346	0.084021	0.47241
C8orf82	4	0.23466	1.2538	0.90095	0.98115	0.20991	0.48154
LRRC8B	4	0.36623	0.96872	0.66173	0.91959	0.33269	0.54486
GNB5	4	-0.24014	-1.2768	0.08581	0.43501	0.20167	0.47882
LGALS7	4	0.44442	1.0985	0.42272	0.82112	0.27197	0.50919
H2AFX	4	1.2548	1.185	0.00020929	0.0065147	0.23602	0.49027
TUSC2	4	0.45488	1.6289	0.39661	0.80667	0.10332	0.47241
KLF1	4	0.19642	1.3342	0.78275	0.95593	0.18215	0.47241
MRPL43	4	-0.60178	-2.1799	0.0097321	0.12165	0.029268	0.37949
B3GAT2	4	0.5256	1.6747	0.23394	0.66981	0.093993	0.47241
DISP2	4	0.36707	1.3022	0.65917	0.91891	0.19286	0.47617
HSD11B2	4	0.053783	0.35004	0.42162	0.8206	0.72631	0.81774
NEUROD1	4	0.49426	1.2834	0.29945	0.73281	0.19936	0.47797
CYB5RL	3	0.12111	0.26492	0.60213	0.90167	0.79107	0.8631
UCK1	4	0.05801	0.2559	0.43062	0.82589	0.79803	0.86792
MZT2A	4	0.070361	0.30402	0.45908	0.84301	0.76111	0.84185
FZR1	4	-0.3466	-1.9819	0.047091	0.32541	0.047487	0.47241
SUN2	4	0.13812	0.42028	0.62217	0.90765	0.67428	0.7806
CCDC183	4	0.049624	0.45056	0.41157	0.81363	0.65231	0.76432
MAB21L2	4	0.67985	1.7805	0.052951	0.34398	0.074993	0.47241
LRIG2	4	0.39514	1.3937	0.56985	0.89019	0.16341	0.47241
BAIAP2L2	4	0.18972	0.84778	0.76496	0.95194	0.39656	0.58615
CHCHD5	4	0.13435	1.0417	0.61145	0.90389	0.29757	0.52397
ANKRD2	4	0.31517	0.99738	0.83387	0.9667	0.31858	0.53658
BTBD8	3	-0.5648	-2.0841	0.025534	0.22765	0.037149	0.44625
SMPD3	4	0.45301	1.7999	0.40127	0.80881	0.071881	0.47241
NPB	4	0.47168	1.5299	0.35261	0.77451	0.12604	0.47241
HARBI1	4	-0.077918	-0.43882	0.21411	0.64696	0.66079	0.77044
